iter	Logloss
0	0.6918295905
1	0.690593184
2	0.689439878
3	0.6882964967
4	0.6872010763
5	0.6861155682
6	0.6850993973
7	0.6841448765
8	0.6832125313
9	0.6822448318
10	0.6813807287
11	0.680494439
12	0.6796406844
13	0.6788267772
14	0.6780281345
15	0.6772814399
16	0.6765742018
17	0.6758434317
18	0.6752196968
19	0.6745593132
20	0.6739988521
21	0.6733971793
22	0.6727984372
23	0.672155731
24	0.6715877412
25	0.6710098089
26	0.6704356052
27	0.669954139
28	0.6695400023
29	0.669086403
30	0.6686491792
31	0.6682390458
32	0.6677983072
33	0.6673224005
34	0.6669254477
35	0.6665069131
36	0.6661161162
37	0.6657191733
38	0.665348158
39	0.6649450152
40	0.6645152311
41	0.6641640795
42	0.6638003677
43	0.6634416314
44	0.6630605421
45	0.6627347123
46	0.662456356
47	0.6621994501
48	0.6618428773
49	0.6615390758
50	0.66125472
51	0.6609921248
52	0.6607583919
53	0.6604958645
54	0.6601827094
55	0.6599175706
56	0.6596382986
57	0.6593873754
58	0.6591314056
59	0.6588507598
60	0.6586157742
61	0.6583483632
62	0.6581630704
63	0.6579670084
64	0.6577378105
65	0.6575253487
66	0.6573619001
67	0.6571499365
68	0.6569760129
69	0.6567985769
70	0.6565881002
71	0.6563852266
72	0.6562309318
73	0.6560534961
74	0.655820223
75	0.6556378381
76	0.6554693149
77	0.6552733449
78	0.655049529
79	0.6548721342
80	0.654703675
81	0.6545124783
82	0.6544321509
83	0.6542848633
84	0.654098681
85	0.6539431168
86	0.6537557496
87	0.6535968744
88	0.6534634542
89	0.653333617
90	0.6531910601
91	0.6530498403
92	0.6529072847
93	0.6527979841
94	0.6526637331
95	0.6525540688
96	0.6524464509
97	0.6523224614
98	0.6521954577
99	0.6520825261
100	0.6519663088
101	0.6518364757
102	0.6517345648
103	0.6516384828
104	0.6515496361
105	0.6514437739
106	0.651314233
107	0.6512098454
108	0.6511201878
109	0.6509931537
110	0.6509109164
111	0.6508184136
112	0.650688895
113	0.6505895491
114	0.6504908054
115	0.650362971
116	0.6502558214
117	0.6501585222
118	0.6500536337
119	0.6499702773
120	0.6498688642
121	0.6497811438
122	0.6496777798
123	0.6495906856
124	0.6495083514
125	0.649423103
126	0.6493538535
127	0.6492628984
128	0.6491912744
129	0.6491093567
130	0.6490332922
131	0.6489608418
132	0.6488843259
133	0.648807322
134	0.6487161106
135	0.6486478361
136	0.6485729007
137	0.6484795282
138	0.6483992323
139	0.6483325692
140	0.6482729615
141	0.6482095115
142	0.6481308024
143	0.6480603932
144	0.6480001027
145	0.6479296873
146	0.6478721543
147	0.6478016698
148	0.6477558501
149	0.6476887058
150	0.647621937
